"k";"m";"nword";"count1";"count2";"count3";"clock span"
160;100000;6622;1200006;79262;100361;107
160;100000;6622;1200006;78979;100362;106
160;100000;6622;1200006;78974;100363;107
160;100000;6622;1200005;78693;100364;106
160;100000;6622;1200005;79218;100365;106
160;100000;6622;1200006;78939;100366;105
160;100000;6622;1200004;78934;100367;107
170;100000;6622;1200005;78657;100368;112
170;100000;6622;1200006;78918;100369;113
170;100000;6622;1200004;78643;100370;112
170;100000;6622;1200005;78638;100371;111
170;100000;6622;1200006;78365;100372;112
170;100000;6622;1200005;79106;100373;112
170;100000;6622;1200006;78835;100374;112
170;100000;6622;1200006;78830;100375;112
170;100000;6622;1200005;78561;100376;112
170;100000;6622;1200005;78814;100377;112
180;100000;6622;1200005;78547;100378;120
180;100000;6622;1200005;78542;100379;118
180;100000;6622;1200005;78277;100380;118
180;100000;6622;1200005;78770;100381;119
180;100000;6622;1200005;78507;100382;118
180;100000;6622;1200005;78502;100383;118
180;100000;6622;1200005;78241;100384;120
180;100000;6622;1200005;78486;100385;121
180;100000;6622;1200001;78227;100379;120
180;100000;6622;1200001;78222;100380;120
190;100000;6622;1200001;77965;100381;126
190;100000;6622;1200001;78962;100382;125
190;100000;6622;1200001;78707;100383;125
190;100000;6622;1200000;78702;100384;124
190;100000;6622;1200001;78449;100385;124
190;100000;6622;1200001;78686;100386;125
190;100000;6622;1200000;78435;100387;126
190;100000;6622;1200001;78430;100388;126
190;100000;6622;1200001;78181;100389;126
190;100000;6622;1200000;78642;100390;125
200;100000;6622;1200001;78395;100391;131
200;100000;6622;1200001;78390;100392;132
200;100000;6622;1200001;78145;100393;131
200;100000;6622;1200001;78374;100394;133
200;100000;6622;1200001;78131;100395;131
200;100000;6622;1200001;78126;100396;132
200;100000;6622;1200000;77885;100397;133
200;100000;6622;1200001;78530;100398;132
200;100000;6622;1200001;78291;100399;133
200;100000;6622;1200000;78286;100400;132
10;1000000;6622;12000001;78049;1000401;140
10;1000000;6622;12000001;78270;1000402;139
10;1000000;6622;12000000;78035;1000403;139
10;1000000;6622;12000001;78030;1000404;139
10;1000000;6622;12000001;77797;1000405;139
10;1000000;6622;12000001;78226;1000406;139
10;1000000;6622;12000001;77995;1000407;138
10;1000000;6622;12000001;77990;1000408;137
10;1000000;6622;12000001;77761;1000409;138
10;1000000;6622;12000000;77974;1000410;139
20;1000000;6622;12000001;77747;1000411;192
20;1000000;6622;12000001;77742;1000412;187
20;1000000;6622;12000000;77517;1000413;188
20;1000000;6622;12000001;78386;1000414;188
20;1000000;6622;12000001;78163;1000415;187
20;1000000;6622;12000000;78158;1000416;188
20;1000000;6622;12000001;77937;1000417;188
20;1000000;6622;12000001;78142;1000418;187
20;1000000;6622;12000000;77923;1000419;187
20;1000000;6622;12000001;77918;1000420;188
30;1000000;6622;12000001;77701;1000421;251
30;1000000;6622;12000000;78098;1000422;252
30;1000000;6622;12000001;77883;1000423;252
30;1000000;6622;12000001;77878;1000424;253
30;1000000;6622;12000000;77665;1000425;254
30;1000000;6622;12000001;77862;1000426;253
30;1000000;6622;12000001;77651;1000427;251
30;1000000;6622;12000000;77646;1000428;252
30;1000000;6622;12000001;77437;1000429;253
30;1000000;6622;12000001;77986;1000430;254
40;1000000;6622;12000001;77779;1000431;307
40;1000000;6622;12000001;77774;1000432;308
40;1000000;6622;12000001;77569;1000433;307
40;1000000;6622;12000001;77758;1000434;308
40;1000000;6622;12000000;77555;1000435;307
40;1000000;6622;12000001;77550;1000436;309
40;1000000;6622;12000001;77349;1000437;307
40;1000000;6622;12000000;77714;1000438;307
40;1000000;6622;12000001;77515;1000439;308
40;1000000;6622;12000001;77510;1000440;307
50;1000000;6622;12000000;77313;1000441;363
50;1000000;6622;12000001;77494;1000442;363
50;1000000;6622;12000001;77299;1000443;364
50;1000000;6622;12000001;77294;1000444;365
50;1000000;6622;12000001;77101;1000445;364
50;1000000;6622;12000001;77874;1000446;363
50;1000000;6622;12000001;77683;1000447;364
50;1000000;6622;12000000;77678;1000448;365
50;1000000;6622;12000001;77489;1000449;363
50;1000000;6622;12000001;77662;1000450;363
60;1000000;6622;12000000;77475;1000451;419
60;1000000;6622;12000001;77470;1000452;419
60;1000000;6622;12000001;77285;1000453;418
60;1000000;6622;12000000;77618;1000454;419
60;1000000;6622;12000001;77435;1000455;420
60;1000000;6622;12000001;77430;1000456;418
60;1000000;6622;12000001;77249;1000457;419
60;1000000;6622;12000001;77414;1000458;423
60;1000000;6622;12000001;77235;1000459;417
