date;input;n;k;m;i;count1;count2;count3;count;usr;sys;time
2015-12-29 10:37:57.459372535+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;17;1387074;16602;18515;1422191;0.02;0;0.02
2015-12-29 10:37:57.496345201+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;18;1387074;16602;18515;1422191;0.02;0;0.02
2015-12-29 10:37:57.533190886+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;19;1387074;16602;18515;1422191;0.02;0;0.02
2015-12-29 10:37:57.569969195+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;20;1387074;16602;18515;1422191;0.02;0;0.02
2015-12-29 10:37:57.607731907+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;1;1387074;165767;176118;1728959;0.03;0;0.03
2015-12-29 10:37:57.653393998+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;2;1387074;165767;176118;1728959;0.03;0;0.03
2015-12-29 10:37:57.698147169+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;3;1387074;165767;176118;1728959;0.03;0;0.03
2015-12-29 10:37:57.742893244+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;4;1387074;165767;176118;1728959;0.03;0;0.03
2015-12-29 10:37:57.788925968+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;5;1387074;165767;176118;1728959;0.03;0;0.03
2015-12-29 10:37:57.835057143+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;6;1387074;165767;176118;1728959;0.03;0;0.03
2015-12-29 10:37:57.880455446+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;7;1387074;165767;176118;1728959;0.03;0;0.03
2015-12-29 10:37:57.925851184+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;8;1387074;165767;176118;1728959;0.03;0;0.03
2015-12-29 10:37:57.970550520+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;10000;9;1387074;165767;176118;1728959;0.03;0;0.03
